[Summary]
Cell: MAB.210604.001
Description: MAB.210604.001
Protocol: C:\UHPC_data\Mitch\LNO-4.3V-OCV 15min-30C-max 2C.pro
Mass (mg): 0.99
Capacity (mAHr): 0.27209
User: 
Started: 6/4/2021 7:01:40 PM
Version: 3.0
Channel312UHPC6_03
[End Summary]
[Data]
Time (h),Cycle,Step,Meas I (A),Potential (V),Capacity (Ah),Prot.Step
0.848330452735889,1,1,1.391081815E-05,3.04205514,1.17875612828466E-05,0
0.851284183903557,1,1,1.39105965E-05,3.04871358,1.18286494140545E-05,0
0.854261845612666,1,1,1.391032225E-05,3.05539505,1.18700703065613E-05,0
0.857195152216308,1,1,1.39105154E-05,3.06196482,1.1910874033653E-05,0
0.860178545446393,1,1,1.391040225E-05,3.06861533,1.19523743753597E-05,0
0.863103529452777,1,1,1.39108117E-05,3.0751089,1.19930633711296E-05,0
0.866045154287244,1,1,1.391076485E-05,3.08161106,1.20339835113915E-05,0
0.868939570686721,1,1,1.39107297E-05,3.08797194,1.20742469525475E-05,0
0.871875572893676,1,1,1.391077115E-05,3.0943932,1.21150890915128E-05,0
0.874864428351737,1,1,1.39107878E-05,3.10087131,1.21566662831038E-05,0
0.87780883460327,1,1,1.39107747E-05,3.10723463,1.2197625180034E-05,0
0.880762696853004,1,1,1.391079655E-05,3.11356915,1.22387157305154E-05,0
0.883689964146783,1,1,1.391065215E-05,3.11975234,1.22794359768124E-05,0
0.88670320398786,1,1,1.391055425E-05,3.12612829,1.23213523066065E-05,0
0.88961708068282,1,1,1.391070175E-05,3.13222216,1.23618863075403E-05,0
0.892522607601712,1,1,1.39107763E-05,3.13823916,1.24023043519954E-05,0
0.895485687299893,1,1,1.391078245E-05,3.1443133,1.24435230854872E-05,0
0.898403130478535,1,1,1.39106036E-05,3.15023195,1.24841066977187E-05,0
0.901316977054027,1,1,1.391066115E-05,3.15608128,1.25246402689137E-05,0
0.904278158869253,1,1,1.39108084E-05,3.16195642,1.25658327472529E-05,0
0.907247471247849,1,1,1.391063015E-05,3.16777002,1.26071378303687E-05,0
0.910190664076891,1,1,1.39106728E-05,3.17345527,1.26480794752431E-05,0
0.913176422754578,1,1,1.391072945E-05,3.17913868,1.26896135723979E-05,0
0.916145306777301,1,1,1.391072185E-05,3.18468988,1.27309129342522E-05,0
0.919135638713091,1,1,1.391077755E-05,3.19018135,1.27725107419562E-05,0
0.922055675195787,1,1,1.391070165E-05,3.19545116,1.28131304319904E-05,0
0.925036273107514,1,1,1.39106377E-05,3.20073103,1.28545926227903E-05,0
0.927966819591584,1,1,1.39106371E-05,3.20581341,1.28953582896737E-05,0
0.930939005706089,1,1,1.391067255E-05,3.2108502,1.29367034278048E-05,0
0.93544729656206,1,1,1.39107203E-05,3.21827841,1.29994167753648E-05,0
0.939883284119191,1,1,1.39106477E-05,3.22533676,1.30611243689038E-05,0
0.94426111499278,1,1,1.39107782E-05,3.23207538,1.31220231406301E-05,0
0.948661057477071,1,1,1.39106955E-05,3.23864157,1.3183229495368E-05,0
0.953008772357557,1,1,1.39105782E-05,3.24496072,1.32437092558815E-05,0
0.957363763495661,1,1,1.39105792E-05,3.25114645,1.33042896670648E-05,0
0.961771963615397,1,1,1.39106899E-05,3.25726841,1.33656105424865E-05,0
