	Cycle_ID	Cap_Chg	Cap_DChg	Specific_Capacity-Chg	Specific_Capacity-DChg	Efficiency	Engy_Chg	Engy_DChg	Mid-value_Voltage	CC_Chg_Cap	CC_Chg_Rat	Platform_Cap	Platform_RCap	Platform_Efficiency	Platform_Time	Capacitance_Chg	Capacitance_DChg	rd	REngy_Chg	REngy_DChg	Energy_Efficiency
56	228.80	227.92	228797.04	227919.40	99.62	866.95	848.24	3671.8	0.00	0.00	227.92	227919.40	100.00	2:54:45	0.0000	0.0000	0.0000	866952.14	848241.76	97.84%	
57	228.65	228.51	228650.98	228507.73	99.94	866.42	850.41	3655.1	0.00	0.00	228.51	228507.73	100.00	2:55:12	0.0000	0.0000	0.0000	866422.42	850407.63	98.15%	
58	228.59	228.45	228585.07	228446.83	99.94	866.20	850.19	3655.1	0.00	1.41	228.45	228446.83	100.00	2:55:09	0.0000	0.0000	0.0000	866204.39	850185.91	98.15%	
59	228.51	228.38	228513.96	228382.19	99.94	865.94	849.94	3655.1	0.00	0.17	228.38	228382.19	100.00	2:55:06	0.0000	0.0000	0.0000	865939.13	849939.87	98.15%	
60	228.43	228.32	228427.16	228317.12	99.95	865.64	849.71	3654.8	0.00	0.00	228.32	228317.12	100.00	2:55:03	0.0000	0.0000	0.0000	865635.30	849707.00	98.16%	
61	228.38	228.27	228384.78	228274.34	99.95	865.47	849.56	3654.8	0.00	0.00	228.27	228274.34	100.00	2:55:01	0.0000	0.0000	0.0000	865465.86	849556.47	98.16%	
62	228.33	228.21	228334.03	228210.19	99.95	865.29	849.32	3673.4	0.00	0.00	228.21	228210.19	100.00	2:54:58	0.0000	0.0000	0.0000	865293.11	849323.61	98.15%	
63	228.26	228.15	228262.89	228145.56	99.95	865.03	849.08	3673.4	0.00	20.00	228.15	228145.56	100.00	2:54:55	0.0000	0.0000	0.0000	865028.54	849076.34	98.16%	
64	228.22	228.10	228222.17	228097.64	99.95	864.90	848.92	3673.7	0.00	0.17	228.10	228097.64	100.00	2:54:53	0.0000	0.0000	0.0000	864895.95	848917.83	98.15%	
65	228.18	228.06	228179.79	228055.69	99.95	864.74	848.77	3673.4	0.00	0.19	228.06	228055.69	100.00	2:54:51	0.0000	0.0000	0.0000	864741.42	848769.09	98.15%	
66	228.09	227.99	228090.60	227990.92	99.96	864.42	848.53	3673.4	0.00	3.92	227.99	227990.92	100.00	2:54:48	0.0000	0.0000	0.0000	864423.45	848525.19	98.16%	
67	228.06	227.95	228055.81	227947.85	99.95	864.31	848.38	3673.4	0.00	22.88	227.95	227947.85	100.00	2:54:46	0.0000	0.0000	0.0000	864312.46	848382.75	98.16%	
68	228.02	227.90	228016.09	227896.91	99.95	864.16	848.20	3673.4	0.00	0.00	227.90	227896.91	100.00	2:54:44	0.0000	0.0000	0.0000	864156.20	848201.12	98.15%	
69	227.94	227.85	227935.77	227850.95	99.96	863.88	848.06	3673.4	0.00	0.00	227.85	227850.95	100.00	2:54:42	0.0000	0.0000	0.0000	863880.93	848056.01	98.17%	
70	227.69	227.81	227694.58	227809.01	100.05	862.99	847.88	3673.4	0.00	2.17	227.81	227809.01	100.00	2:54:40	0.0000	0.0000	0.0000	862987.33	847884.50	98.25%	
71	227.82	227.72	227820.33	227720.31	99.96	863.46	847.58	3673.1	0.00	0.00	227.72	227720.31	100.00	2:54:36	0.0000	0.0000	0.0000	863457.99	847575.38	98.16%	
72	227.80	227.68	227796.69	227675.18	99.95	863.38	847.41	3673.4	0.00	2.15	227.68	227675.18	100.00	2:54:34	0.0000	0.0000	0.0000	863376.42	847410.62	98.15%	
73	227.73	227.63	227731.93	227631.45	99.96	863.13	847.23	3673.1	0.00	0.00	227.63	227631.45	100.00	2:54:32	0.0000	0.0000	0.0000	863127.80	847234.44	98.16%	
