Cycle_ID	Step_ID	Step_Type	Step_Time	Cap	CmpCap	Energy	CmpEng	Capacitance_Chg	Start_Vol	End_Vol	Start_Temperature	End_Temperature
64	127	CCCV_Chg	0.12	228.22	228222.17	864.90	864895.95	228.2	3036.6	4297.1	0.0	0.0	
64	128	CC_DChg	0.12	228.10	228097.64	848.92	848917.83	228.1	4285.4	2998.8	0.0	0.0	
65	129	CCCV_Chg	0.12	228.18	228179.79	864.74	864741.42	228.2	3040.9	4297.1	0.0	0.0	
65	130	CC_DChg	0.12	228.06	228055.69	848.77	848769.09	228.1	4284.7	2999.7	0.0	0.0	
66	131	CCCV_Chg	0.12	228.09	228090.60	864.42	864423.45	228.1	3041.2	4297.1	0.0	0.0	
66	132	CC_DChg	0.12	227.99	227990.92	848.53	848525.19	228.0	4285.4	2999.1	0.0	0.0	
67	133	CCCV_Chg	0.12	228.06	228055.81	864.31	864312.46	228.1	3040.9	4297.1	0.0	0.0	
67	134	CC_DChg	0.12	227.95	227947.85	848.38	848382.75	227.9	4284.7	2998.8	0.0	0.0	
68	135	CCCV_Chg	0.12	228.02	228016.09	864.16	864156.20	228.0	3040.6	4297.1	0.0	0.0	
68	136	CC_DChg	0.12	227.90	227896.91	848.20	848201.12	227.9	4285.4	2999.7	0.0	0.0	
69	137	CCCV_Chg	0.12	227.94	227935.77	863.88	863880.93	227.9	3041.2	4297.1	0.0	0.0	
69	138	CC_DChg	0.12	227.85	227850.95	848.06	848056.01	227.9	4284.7	2999.4	0.0	0.0	
70	139	CCCV_Chg	0.12	227.69	227694.58	862.99	862987.33	227.7	3040.6	4297.1	0.0	0.0	
70	140	CC_DChg	0.12	227.81	227809.01	847.88	847884.50	227.8	4284.4	2999.4	0.0	0.0	
71	141	CCCV_Chg	0.12	227.82	227820.33	863.46	863457.99	227.8	3040.0	4297.1	0.0	0.0	
71	142	CC_DChg	0.12	227.72	227720.31	847.58	847575.38	227.7	4284.4	2999.1	0.0	0.0	
72	143	CCCV_Chg	0.12	227.80	227796.69	863.38	863376.42	227.8	3040.3	4297.1	0.0	0.0	
72	144	CC_DChg	0.12	227.68	227675.18	847.41	847410.62	227.7	4285.4	2999.7	0.0	0.0	
73	145	CCCV_Chg	0.12	227.73	227731.93	863.13	863127.80	227.7	3040.3	4297.1	0.0	0.0	
73	146	CC_DChg	0.12	227.63	227631.45	847.23	847234.44	227.6	4284.4	2999.1	0.0	0.0	
74	147	CCCV_Chg	0.12	227.65	227654.91	862.87	862865.40	227.7	3040.6	4297.1	0.0	0.0	
74	148	CC_DChg	0.12	227.57	227568.29	847.02	847022.56	227.6	4284.4	2999.4	0.0	0.0	
75	149	CCCV_Chg	0.12	227.63	227630.66	862.79	862792.96	227.6	3040.6	4297.1	0.0	0.0	
75	150	CC_DChg	0.12	227.52	227523.71	846.85	846853.43	227.5	4284.4	2999.7	0.0	0.0	
76	151	CCCV_Chg	0.12	227.55	227549.28	862.49	862489.71	227.5	3040.9	4297.1	0.0	0.0	
76	152	CC_DChg	0.12	227.48	227479.53	846.69	846690.72	227.5	4285.4	2999.7	0.0	0.0	
77	153	CCCV_Chg	0.12	227.53	227530.96	862.43	862427.87	227.5	3035.7	4297.1	0.0	0.0	
77	154	CC_DChg	0.12	227.44	227436.96	846.54	846542.05	227.4	4285.4	2999.1	0.0	0.0	
78	155	CCCV_Chg	0.12	227.49	227487.65	862.27	862268.22	227.5	3039.7	4297.1	0.0	0.0	
78	156	CC_DChg	0.12	226.31	226309.79	842.28	842275.24	226.3	4284.4	2999.7	0.0	0.0	
79	157	CCCV_Chg	0.12	227.44	227435.61	862.09	862086.68	227.4	3039.7	4297.1	0.0	0.0	
79	158	CC_DChg	0.12	227.33	227334.69	846.17	846167.58	227.3	4284.4	2999.7	0.0	0.0	
80	159	CCCV_Chg	0.12	227.39	227392.39	861.94	861940.03	227.4	3036.0	4297.1	0.0	0.0	
80	160	CC_DChg	0.12	227.31	227311.25	846.10	846096.26	227.3	4285.4	2999.7	0.0	0.0	
81	161	CCCV_Chg	0.12	227.10	227104.99	860.89	860885.11	227.1	3035.7	4297.1	0.0	0.0	
81	162	CC_DChg	0.12	227.27	227271.56	845.92	845923.64	227.3	4284.4	2999.4	0.0	0.0	
82	163	CCCV_Chg	0.12	227.30	227300.24	861.60	861604.50	227.3	3035.0	4297.1	0.0	0.0	
82	164	CC_DChg	0.12	227.23	227227.17	845.77	845767.48	227.2	4284.4	2999.1	0.0	0.0	
